,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h2o_m,EX_acac_m,EX_for_m,EX_ser_L_m,EX_urea_m
com_0.1663_0.1914_0.6423,0.009518527512932565,0.004555677592105814,-0.22612185690473385,0.0012338900651416296,0.111,,-0.013220723203158702,0.04859629504516319,0.007579636895007563,0.0006177266296362398,0.014453981794258766,0.015687845364590315,0.004054236708868266,-0.010671498009146543,0.12362789559520543,0.0068746098474049815,0.032896572638559225,0.008284663942601014,0.00035254001861392966,0.004230427233732749,0.009342336988068082,-0.20456584256767574,,,,
com_0.0936_0.6996_0.2069,0.009518527512935387,0.0045556775921059755,-0.22612185690493458,0.001233890065149179,0.111,,-0.013220723202942652,0.048596295045118997,0.007579636895009047,0.0006177266296364811,0.014453981794268036,0.015687845364599728,0.004054236708874515,-0.010671498008990704,0.12362789559533333,0.006874609847414398,0.03289657263872298,0.008284663942606635,0.00035254001861315923,0.00423042723373212,0.009342336988074842,-0.20456584256833166,,,,
com_0.3311_0.1462_0.5227,0.009518527512941903,0.004555677592107335,-0.2261218569051635,0.001233890065138965,0.111,,-0.013220723202541196,0.048596295045033364,0.0075796368950063146,0.0006177266296372841,0.01445398179425994,0.015687845364594687,0.004054236708868892,-0.010671498008562864,0.12362789559536622,0.006874609847411684,0.0328965726387852,0.008284663942600945,0.00035254001861151373,0.004230427233724625,0.00934233698807874,-0.20456584256919386,,,,
com_0.1123_0.5592_0.3285,0.00951852751293883,0.00455567759210358,-0.22612185690491593,0.0012338900651354123,0.111,,-0.013220723202839402,0.048596295045055415,0.007579636895004574,0.0006177266296379727,0.01445398179426745,0.015687845364596102,0.00405423670887315,-0.010671498008748654,0.12362789559526313,0.006874609847412978,0.032896572638640625,0.008284663942605507,0.00035254001861594346,0.0042304272337323565,0.009342336988079623,-0.2045658425685437,,,,
com_0.3568_0.0868_0.5564,0.00951852751293358,0.004555677592101145,-0.2261218569043022,0.0012338900651575335,0.111,,-0.013220723203638318,0.048596295045320155,0.007579636895015396,0.0006177266296426918,0.01445398179426749,0.015687845364601282,0.00405423670887424,-0.01067149800874638,0.12362789559571744,0.00687460984741494,0.032896572638843775,0.008284663942607946,0.00035254001861648757,0.004230427233733705,0.009342336988074114,-0.2045658425685823,,,,
com_0.4295_0.0725_0.498,0.00951852751293372,0.004555677592107515,-0.226121856903978,0.0012338900651407414,0.111,,-0.013220723203457796,0.04859629504500341,0.0075796368950092445,0.0006177266296432953,0.01445398179426614,0.015687845364597476,0.004054236708870181,-0.010671498008485441,0.12362789559535114,0.0068746098474161054,0.03289657263924677,0.008284663942602384,0.0003525400186110754,0.004230427233732203,0.009342336988078776,-0.20456584256936186,,,,
com_0.1501_0.2583_0.5916,0.009518527512956995,0.004555677592111771,-0.22612185690469566,0.0012338900651571727,0.111,,-0.013220723203974494,0.04859629504555006,0.0075796368950231535,0.0006177266296399873,0.014453981794296333,0.015687845364625034,0.004054236708877422,-0.010671498009858501,0.12362789559565497,0.006874609847426281,0.03289657263886645,0.008284663942620025,0.0003525400186120508,0.0042304272337426035,0.009342336988100223,-0.20456584256633142,,,,
com_0.1083_0.7022_0.1894,0.009518527512936146,0.004555677592106469,-0.22612185690507003,0.0012338900651380769,0.111,,-0.013220723202925,0.048596295045164585,0.0075796368950090676,0.0006177266296397852,0.014453981794263503,0.015687845364596612,0.0040542367088738955,-0.01067149800903508,0.1236278955953503,0.006874609847413543,0.032896572638760946,0.008284663942604591,0.000352540018614594,0.004230427233733388,0.009342336988076653,-0.2045658425682417,,,,
com_0.4055_0.3346_0.26,0.009518527512934343,0.0045556775919677215,-0.021556014321885586,0.0012338900651451823,0.111,-0.20456584258453336,-0.21778656577957278,0.048596295042204495,0.007579636894779993,0.0006177266296246254,0.014453981794258643,0.015687845364604235,0.004054236708751181,-0.010671498001003353,0.12362789559478071,0.006874609847206631,0.03289657263783052,0.008284663942353356,0.0003525400186006644,0.004230427233605869,0.009342336988074901,,,,,
com_0.2704_0.3383_0.3914,0.009518527512941508,0.004555677592103526,-0.22612185690482178,0.001233890065148735,0.111,,-0.013220723203211993,0.04859629504541715,0.007579636895013469,0.0006177266296389978,0.014453981794269979,0.015687845364601542,0.004054236708871942,-0.010671498009476546,0.1236278955954205,0.006874609847417439,0.03289657263878618,0.0082846639426095,0.0003525400186147089,0.004230427233731997,0.009342336988081453,-0.20456584256738497,,,,
com_0.3006_0.0823_0.6171,0.009518527512933495,0.0045556775921020845,-0.02155601433654164,0.0012338900651494011,0.111,-0.20456584256854238,-0.21778656577119104,0.04859629504505707,0.007579636894997192,0.0006177266296427199,0.014453981794261501,0.015687845364595696,0.004054236708873406,-0.010671498008845363,0.12362789559529005,0.0068746098474126195,0.03289657263864228,0.00828466394260807,0.000352540018616763,0.004230427233734665,0.009342336988081007,,,,,
com_0.6257_0.2093_0.1651,0.009518527512940326,0.004555677592106713,-0.2261218569049448,0.001233890065158563,0.111,,-0.013220723203098528,0.048596295045179566,0.007579636895014271,0.0006177266296403568,0.014453981794272241,0.015687845364603617,0.004054236708874186,-0.010671498009109912,0.12362789559538066,0.006874609847417121,0.03289657263874422,0.008284663942609075,0.0003525400186130702,0.004230427233732544,0.009342336988081968,-0.2045658425679755,,,,
com_0.0679_0.4955_0.4366,0.009518527512940632,0.004555677592105242,-0.22612185690495057,0.0012338900651460705,0.111,,-0.01322072320296952,0.048596295045155745,0.00757963689500068,0.0006177266296370107,0.014453981794267993,0.015687845364596314,0.004054236708871428,-0.0106714980090397,0.12362789559533968,0.006874609847414201,0.03289657263870028,0.008284663942605772,0.00035254001860796167,0.0042304272337343445,0.009342336988077715,-0.20456584256800525,,,,
