,A,B,C,community,medium
com_0.3335_0.2976_0.369,0.027686295125369145,0.024707513240031315,0.030638791754514644,0.02788927975615505,
com_0.3527_0.5428_0.1044,0.022877955190493703,0.0352084460724346,0.006772608371825851,0.027889279756155697,
com_0.2245_0.5255_0.25,0.016093452186532527,0.03767107017241678,0.017923228798518584,0.02788927975615772,
com_0.1076_0.4865_0.4058,0.007267339701496224,0.03285557262883797,0.027404798161374644,0.027889279756157098,
com_0.3298_0.4181_0.2522,0.026493929897308397,0.033592199044141534,0.020258515642231027,0.027889279756150884,
com_0.3484_0.1582_0.4933,0.024927450485894256,0.011318368668155165,0.0352956837060154,0.027889279756163326,
com_0.1251_0.2178_0.6571,0.007051210015672158,0.012272506713369687,0.03703327678418787,0.02788927975616146,
com_0.5002_0.2972_0.2026,0.03675366648388929,0.021834898617055867,0.01488244481457277,0.027889279756155474,
com_0.4465_0.2393_0.3142,0.035045870987522675,0.018779804718655976,0.024656307849205677,0.027889279756152657,
com_0.0165_0.3801_0.6033,0.0009059275041163176,0.020837392734008274,0.03307259211532547,0.02788927975614992,
com_0.3351_0.1051_0.5598,0.0213988683685559,0.006713617309412918,0.0357515189478306,0.027889279756153254,
com_0.397_0.4065_0.1965,0.030631787493526765,0.03136376439178591,0.015163557261595767,0.027889279756148144,
com_0.2502_0.4076_0.3422,0.020178507261107485,0.03287088759925945,0.027594203093673473,0.027889279756149646,
com_0.8611_0.053_0.0859,0.031836587301230825,0.0025735426498187954,0.003950383120498915,0.027889279756157133,
com_0.2281_0.1892_0.5828,0.014880548758320716,0.012341118654221595,0.038026750207416374,0.02788927975615512,
com_0.3916_0.1056_0.5028,0.026171797846934308,0.007053985810104429,0.03360177488858264,0.027889279756151228,
com_0.2155_0.3973_0.3872,0.016963708852252988,0.031279327633661806,0.03049047336824413,0.02788927975614788,
com_0.1072_0.3082_0.5846,0.00667064376002088,0.01917756590872355,0.03637454792799778,0.027889279756157154,
com_0.3339_0.3735_0.2927,0.027660598833856947,0.030947304784524194,0.02424755347008081,0.027889279756151616,
com_0.3317_0.0578_0.6104,0.01903456676131638,0.0033169008185962652,0.03502878226385321,0.02788927975615625,
com_0.477_0.4656_0.0574,0.029689255637983,0.02897956260590704,0.004083453451657914,0.02788922147880269,
com_0.5099_0.4788_0.0113,0.02863884521898579,0.026894261473706986,0.0018340624737992145,0.0275005070541385,
com_0.5101_0.3094_0.1805,0.03661738085285279,0.022212494486995527,0.012955796262683346,0.027889279756153046,
com_0.4802_0.4426_0.0772,0.030970288069324954,0.02854451187462665,0.004980502961287617,0.02788927975613215,
com_0.3995_0.4208_0.1797,0.030197640808502506,0.03180745875696953,0.013580458492614586,0.027889279756157414,
com_0.0074_0.3893_0.6033,0.00039855999469703317,0.02105988846159833,0.03263350041240032,0.027889279756156345,
com_0.5324_0.2669_0.2007,0.03759520192498614,0.018842482045675048,0.014174413085753693,0.027889279756159978,
com_0.561_0.3038_0.1351,0.03678825484897041,0.019920100475011096,0.008859713802784407,0.027889279756170025,
