,A,B,C,sample
B,0.00426011757726357,-0.026750442632322898,0.020715239612309845,com_0.1022_0.401_0.4968
C,0.00719474852270452,0.028237912625684047,-0.033142279503093425,com_0.1022_0.401_0.4968
A,-0.007993716744657887,0.0008533461580194461,0.0011634377254933354,com_0.1181_0.3732_0.5088
B,0.004080570785654958,-0.02525856007840775,0.01757918173750051,com_0.1181_0.3732_0.5088
C,0.010108608855592107,0.03194119992704367,-0.03443709379018161,com_0.1181_0.3732_0.5088
A,-0.004977980404396438,0.00034529427077127986,0.0004133337700915826,com_0.0776_0.4198_0.5026
B,0.0033930704778497855,-0.026926362540758572,0.021969942292347847,com_0.0776_0.4198_0.5026
C,0.005020740160853585,0.02715765479152045,-0.03223214481645213,com_0.0776_0.4198_0.5026
A,-0.005960774456119642,0.0004623891753467342,0.0006450785296992084,com_0.0923_0.379_0.5287
B,0.0029721059367592206,-0.02448367889504809,0.017031119675465292,com_0.0923_0.379_0.5287
C,0.008279615813421574,0.03400824113086691,-0.03415714821929323,com_0.0923_0.379_0.5287
A,-0.008878240568085597,0.001152794501489418,0.0013415416016158352,com_0.1271_0.4034_0.4695
B,0.006107964540555351,-0.028176543446670362,0.022558465906708174,com_0.1271_0.4034_0.4695
C,0.007806207509664461,0.024774271807953923,-0.032789890282946675,com_0.1271_0.4034_0.4695
A,-0.0071462399845731795,0.000649361339803603,0.0009567880737614276,com_0.1086_0.3604_0.531
B,0.0031596399203866294,-0.02372452474599003,0.015455634698864802,com_0.1086_0.3604_0.531
C,0.010846887198943719,0.03601015998301537,-0.03495641168273041,com_0.1086_0.3604_0.531
A,-0.006096063170273993,0.00045466211901211764,0.0007050336252826181,com_0.0956_0.3546_0.5498
B,0.0024608391335312896,-0.022619399807257284,0.014159108232382943,com_0.0956_0.3546_0.5498
C,0.010543084028122396,0.03912003964281635,-0.03507535988003352,com_0.0956_0.3546_0.5498
A,-0.003542502802607375,0.00015867929272808667,0.00019791367320760173,com_0.0575_0.4194_0.5231
B,0.0022499855993832144,-0.025830396724761746,0.020462380214233584,com_0.0575_0.4194_0.5231
C,0.003994568142980292,0.029126661515084386,-0.032217112954323966,com_0.0575_0.4194_0.5231
A,-0.003712644215294276,0.00017081121443789787,0.0002270345961806683,com_0.0604_0.4034_0.5362
B,0.0020751621893728253,-0.024787908439965253,0.01841553190174751,com_0.0604_0.4034_0.5362
C,0.00481462587992592,0.03214542047817333,-0.03294697483246599,com_0.0604_0.4034_0.5362
A,-0.007887196527689079,0.0007810845100846737,0.0011800848211349496,com_0.1184_0.3511_0.5305
B,0.0032913553331208843,-0.023387169879276217,0.014745006824397854,com_0.1184_0.3511_0.5305
C,0.012364042114751034,0.0366619434872317,-0.035334005254501276,com_0.1184_0.3511_0.5305
A,-0.005032758991680177,0.00033697293933954847,0.00043968242102070815,com_0.079_0.3996_0.5214
B,0.0028897534028304098,-0.025457080094075928,0.01907248659369378,com_0.079_0.3996_0.5214
C,0.006147641559211454,0.031096463031515288,-0.03321640790876799,com_0.079_0.3996_0.5214
A,-0.004297446591506487,0.00023571403927981002,0.0003166094529439556,com_0.069_0.3973_0.5337
B,0.002342850789827257,-0.024764537211077554,0.018134383193107548,com_0.069_0.3973_0.5337
C,0.005658164525063261,0.03260583320589142,-0.033263553590375104,com_0.069_0.3973_0.5337
A,-0.0032036708972859084,0.00011959782962008697,0.00016146442725892274,com_0.053_0.403_0.544
B,0.0017411739577041473,-0.024369428528084817,0.017881058614998613,com_0.053_0.403_0.544
C,0.00432670051459712,0.03291200339741526,-0.03290022763127195,com_0.053_0.403_0.544
A,-0.007311913544175507,0.0007651365253594604,0.0009194630315585914,com_0.1082_0.4051_0.4867
B,0.00482496171065278,-0.027372499633912008,0.021705641235275644,com_0.1082_0.4051_0.4867
C,0.007142806284642361,0.026739438476748832,-0.0328934780409122,com_0.1082_0.4051_0.4867
A,-0.0035400478683492746,0.00015259877099836963,0.0002038023578404824,com_0.0579_0.4034_0.5387
B,0.001962013764900656,-0.024655414568463558,0.018250022920053476,com_0.0579_0.4034_0.5387
C,0.004649689100647464,0.03238374796841499,-0.03292838851308214,com_0.0579_0.4034_0.5387
A,-0.008465086207296555,0.0009746103011949135,0.0012897853308928425,com_0.1235_0.3773_0.4993
