compartments,abundance,growth_rate,reactions,metabolites,sample
medium,,,124,124,com_0.0522_0.4125_0.5354
A,0.12028910481458248,0.00808219844896594,1431,1166,com_0.1203_0.3573_0.5224
B,0.3573469369430052,0.024012032687037898,872,713,com_0.1203_0.3573_0.5224
C,0.5223639582424124,0.0351028295884053,1462,1193,com_0.1203_0.3573_0.5224
medium,,,124,124,com_0.1203_0.3573_0.5224
A,0.07434297168689691,0.004719770159710342,1431,1166,com_0.0743_0.4116_0.5141
B,0.4115729422994755,0.02613383453120613,872,713,com_0.0743_0.4116_0.5141
C,0.5140840860136277,0.032645279832246014,1462,1193,com_0.0743_0.4116_0.5141
medium,,,124,124,com_0.0743_0.4116_0.5141
A,0.11455135664449803,0.007675042169544722,1431,1166,com_0.1146_0.3683_0.5171
B,0.36833982317473823,0.024681309295877918,872,713,com_0.1146_0.3683_0.5171
C,0.5171088201807638,0.03465225009177182,1462,1193,com_0.1146_0.3683_0.5171
medium,,,124,124,com_0.1146_0.3683_0.5171
A,0.10662079784806597,0.007122916822605419,1431,1166,com_0.1066_0.3876_0.5057
B,0.38763021076323145,0.025898687726456433,872,713,com_0.1066_0.3876_0.5057
C,0.5057489913887026,0.0337928798487556,1462,1193,com_0.1066_0.3876_0.5057
medium,,,124,124,com_0.1066_0.3876_0.5057
A,0.11296028958459503,0.007726881128242931,1431,1166,com_0.113_0.4163_0.4708
B,0.4162790354972001,0.02847763538137793,872,713,com_0.113_0.4163_0.4708
C,0.4707606749182049,0.03220703691775632,1462,1193,com_0.113_0.4163_0.4708
medium,,,124,124,com_0.113_0.4163_0.4708
A,0.1103972552761864,0.0075017134285524445,1431,1166,com_0.1104_0.4095_0.4801
B,0.40953781445735743,0.027831620041960964,872,713,com_0.1104_0.4095_0.4801
C,0.4800649302664562,0.032626858059162725,1462,1193,com_0.1104_0.4095_0.4801
medium,,,124,124,com_0.1104_0.4095_0.4801
A,0.11972613307934712,0.007981392641215045,1431,1166,com_0.1197_0.3492_0.531
