compartments,abundance,growth_rate,reactions,metabolites,sample
C,0.3212080012206972,0.03699808406452153,1462,1193,com_0.0417_0.6371_0.3212
medium,,,126,126,com_0.0417_0.6371_0.3212
A,0.48511950206620846,0.022051310778605105,1512,1217,com_0.4851_0.3402_0.1747
B,0.34021632064233004,0.0034195757344279354,872,713,com_0.4851_0.3402_0.1747
C,0.17466417729146153,0.007938041596801369,1462,1193,com_0.4851_0.3402_0.1747
medium,,,126,126,com_0.4851_0.3402_0.1747
A,0.37858973296328857,0.018735778012696366,1512,1217,com_0.3786_0.3038_0.3176
B,0.3038171662386918,0.003829074775288719,872,713,com_0.3786_0.3038_0.3176
C,0.3175931007980197,0.015714749562984055,1462,1193,com_0.3786_0.3038_0.3176
medium,,,126,126,com_0.3786_0.3038_0.3176
A,0.8736728857472342,0.0150039188068725,1512,1217,com_0.8737_0.0558_0.0706
B,0.05575797529057851,0.0009567681117328855,872,713,com_0.8737_0.0558_0.0706
C,0.0705691389621873,0.001212192631130801,1462,1193,com_0.8737_0.0558_0.0706
medium,,,126,126,com_0.8737_0.0558_0.0706
A,0.3007793322244,0.013802794179028818,1512,1217,com_0.3008_0.2835_0.4157
B,0.2834924977317513,0.004104017997934594,872,713,com_0.3008_0.2835_0.4157
C,0.41572817004384865,0.019080627503246975,1462,1193,com_0.3008_0.2835_0.4157
medium,,,126,126,com_0.3008_0.2835_0.4157
A,0.02579166109117669,0.0010199168847030231,1512,1217,com_0.0258_0.4223_0.5519
B,0.42230924610578024,0.002756010336686459,872,713,com_0.0258_0.4223_0.5519
C,0.5518990928030431,0.021846772432179272,1462,1193,com_0.0258_0.4223_0.5519
medium,,,126,126,com_0.0258_0.4223_0.5519
A,0.45203355794337124,0.016665558680464213,1512,1217,com_0.452_0.1966_0.3514
B,0.19661139768605612,0.005916962906323048,872,713,com_0.452_0.1966_0.3514
C,0.3513550443705725,0.012951781466007338,1462,1193,com_0.452_0.1966_0.3514
medium,,,126,126,com_0.452_0.1966_0.3514
A,0.3060923733796907,0.03280795883366389,1512,1217,com_0.3061_0.5559_0.138
B,0.5559143406953768,0.0020942426340262855,872,713,com_0.3061_0.5559_0.138
C,0.1379932859249325,0.014790012227086943,1462,1193,com_0.3061_0.5559_0.138
medium,,,126,126,com_0.3061_0.5559_0.138
A,0.5928822711990154,0.02019640154502312,1512,1217,com_0.5929_0.3504_0.0567
B,0.35039381321090696,0.0033213289830774234,872,713,com_0.5929_0.3504_0.0567
C,0.05672391559007762,0.0019312196222545555,1462,1193,com_0.5929_0.3504_0.0567
medium,,,126,126,com_0.5929_0.3504_0.0567
A,0.06028876952684162,0.0024289321726168917,1512,1217,com_0.0603_0.3955_0.5442
B,0.39549580094424003,0.0029415863010649828,872,713,com_0.0603_0.3955_0.5442
C,0.5442154295289183,0.021935404390101193,1462,1193,com_0.0603_0.3955_0.5442
medium,,,126,126,com_0.0603_0.3955_0.5442
A,0.6914493934310764,0.017418876392043457,1512,1217,com_0.6914_0.1635_0.145
B,0.16351581467811566,0.004118152740815297,872,713,com_0.6914_0.1635_0.145
C,0.14503479189080787,0.0036525943922187587,1462,1193,com_0.6914_0.1635_0.145
medium,,,126,126,com_0.6914_0.1635_0.145
