,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h2o_m
com_0.1085_0.4273_0.4642,0.00951852751293593,0.004555677592106032,-0.22612185690517617,0.0012338900651407414,0.111,,-0.013220723202807871,0.04859629504515282,0.007579636895011438,0.0006177266296350332,0.01445398179426595,0.015687845364595138,0.004054236708870696,-0.01067149800898521,0.12362789559534905,0.006874609847410869,0.032896572638732136,0.00828466394260541,0.0003525400186134145,0.004230427233734714,0.009342336988085106,-0.20456584256837207
com_0.0986_0.3896_0.5118,0.009518527512937346,0.004555677592100854,-0.2261218569049568,0.0012338900651593931,0.111,,-0.013220723202704843,0.04859629504498772,0.007579636895009494,0.0006177266296370951,0.014453981794267268,0.01568784536459398,0.004054236708872875,-0.010671498008832967,0.1236278955951377,0.006874609847410059,0.03289657263846732,0.008284663942601656,0.0003525400186187531,0.00423042723372878,0.009342336988081441,-0.20456584256820232
com_0.1059_0.3785_0.5155,0.009518527512935759,0.0045556775921044845,-0.22612185690463527,0.0012338900651496232,0.111,,-0.013220723203278606,0.04859629504519218,0.007579636895024012,0.0006177266296396847,0.014453981794267092,0.015687845364594433,0.004054236708876145,-0.010671498009246268,0.12362789559530513,0.0068746098474103,0.03289657263875729,0.00828466394260842,0.000352540018614054,0.004230427233732274,0.00934233698807963,-0.20456584256763333
com_0.0978_0.3768_0.5254,0.009518527512937474,0.004555677592104249,-0.021556014336907126,0.0012338900651478468,0.111,-0.20456584256809807,-0.21778656577141242,0.048596295045631246,0.007579636895015544,0.000617726629640764,0.014453981794267018,0.01568784536459573,0.004054236708873978,-0.01067149800927962,0.12362789559571416,0.006874609847413319,0.03289657263931942,0.008284663942602837,0.00035254001861042313,0.0042304272337288585,0.009342336988075127,
com_0.1256_0.3674_0.507,0.009518527512937316,0.004555677592103174,-0.22612185690509357,0.001233890065158505,0.111,,-0.013220723202970408,0.04859629504515096,0.007579636895011371,0.0006177266296385026,0.01445398179427088,0.015687845364606174,0.004054236708872162,-0.010671498008932571,0.123627895595426,0.006874609847414875,0.03289657263872953,0.008284663942607868,0.000352540018611039,0.004230427233735706,0.009342336988080976,-0.20456584256834742
com_0.0798_0.4178_0.5024,0.009518527512940205,0.004555677592108155,-0.021556014337615892,0.0012338900651460705,0.111,-0.20456584256752564,-0.21778656577048183,0.04859629504524985,0.007579636895011514,0.0006177266296438305,0.014453981794270768,0.01568784536459861,0.004054236708875949,-0.010671498009254257,0.12362789559534769,0.006874609847417362,0.032896572638733565,0.008284663942605667,0.00035254001861070074,0.004230427233729717,0.009342336988079297,
com_0.1213_0.3688_0.5099,0.009518527512937624,0.004555677592102676,-0.22612185690466013,0.0012338900651478468,0.111,,-0.013220723203462015,0.04859629504520173,0.007579636895020051,0.0006177266296297149,0.014453981794267629,0.01568784536460194,0.004054236708871058,-0.010671498009207251,0.12362789559530327,0.006874609847415051,0.03289657263876063,0.00828466394260331,0.00035254001861272517,0.0042304272337322524,0.00934233698807643,-0.20456584256739063
com_0.0994_0.4277_0.4729,0.009518527512939117,0.004555677592106742,-0.22612185690482,0.0012338900651469586,0.111,,-0.013220723202492568,0.04859629504493033,0.007579636895014418,0.000617726629641503,0.014453981794259543,0.015687845364597917,0.004054236708873259,-0.010671498008300553,0.12362789559532206,0.006874609847414758,0.03289657263855086,0.008284663942607358,0.0003525400186127719,0.004230427233734099,0.009342336988078279,-0.20456584256905241
com_0.1218_0.4267_0.4515,0.00951852751293634,0.004555677592102666,-0.2261218569043697,0.0012338900651442941,0.111,,-0.013220723203373197,0.04859629504509344,0.007579636895011261,0.0006177266296374915,0.014453981794261184,0.015687845364600536,0.004054236708873364,-0.01067149800862265,0.1236278955954547,0.006874609847410039,0.03289657263885803,0.008284663942606067,0.0003525400186131481,0.004230427233732703,0.009342336988077002,-0.2045658425688428
com_0.1292_0.424_0.4468,0.00951852751293877,0.004555677592102374,-0.22612185690516373,0.0012338900651513995,0.111,,-0.013220723203038354,0.04859629504526022,0.007579636895009468,0.0006177266296407225,0.014453981794258188,0.015687845364602524,0.004054236708875374,-0.010671498009304718,0.1236278955954133,0.0068746098474154575,0.032896572638958156,0.008284663942603479,0.0003525400186165839,0.004230427233734454,0.00934233698807969,-0.2045658425679362
