sample,compartment,reaction,flux,taxa,samples,name,reads,relative,genus,tot_flux,status,subset,type
D6,A,EX_ala_L_LPAREN_e_RPAREN_,0.0656940821626845,A_D6,D6,A,1,0.08955224,A,0.005883052212412442,Ok,MCF7,spheroid
D6,A,EX_ala_L_b,0.0656940821626845,A_D6,D6,A,1,0.08955224,A,0.005883052212412442,Ok,MCF7,spheroid
D6,A,EX_ala_L_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_andrstrn_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_andrstrn_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_andrstrn_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_andrstrnglc_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_andrstrnglc_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_andrstrnglc_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_anth_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_anth_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_aprgstrn_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_aprgstrn_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_aprgstrn_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_arg_L_LPAREN_e_RPAREN_,0.0091480319981692,A_D6,D6,A,1,0.08955224,A,0.0008192267570277278,Ok,MCF7,spheroid
D6,A,EX_arg_L_b,0.0091480319981692,A_D6,D6,A,1,0.08955224,A,0.0008192267570277278,Ok,MCF7,spheroid
D6,A,EX_arg_L_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_asp_L_LPAREN_e_RPAREN_,-0.005177849553059,A_D6,D6,A,1,0.08955224,A,-0.0004636880258594323,Ok,MCF7,spheroid
D6,A,EX_asp_L_b,-0.005177849553059,A_D6,D6,A,1,0.08955224,A,-0.0004636880258594323,Ok,MCF7,spheroid
D6,A,EX_asp_L_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_bhb_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_bhb_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_bhb_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_bilirub_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_bilirub_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_bilirub_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_biomass_c,0.0063781465797568,A_D6,D6,A,1,0.08955224,A,0.0005711773132655602,Ok,MCF7,spheroid
D6,A,EX_ca2_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ca2_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ca2_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_camp_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_camp_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_camp_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cbasp_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cbasp_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cbasp_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_chol_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_chol_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_chol_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cholate_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cholate_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cholate_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_chsterol_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_chsterol_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_chsterol_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cit_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cit_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cit_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_citr_L_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_citr_L_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cl_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cl_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cl_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_co2_LPAREN_e_RPAREN_,0.0009068424889048,A_D6,D6,A,1,0.08955224,A,8.12097762086e-05,Ok,MCF7,spheroid
D6,A,EX_co2_b,0.0009068424889048,A_D6,D6,A,1,0.08955224,A,8.12097762086e-05,Ok,MCF7,spheroid
D6,A,EX_co2_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_co_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_co_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_co_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_creat_LPAREN_e_RPAREN_,-0.0114394449384126,A_D6,D6,A,1,0.08955224,A,-0.0010244279185915104,Ok,MCF7,spheroid
D6,A,EX_creat_b,-0.0114394449384126,A_D6,D6,A,1,0.08955224,A,-0.0010244279185915104,Ok,MCF7,spheroid
D6,A,EX_creat_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crmp_hs_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crmp_hs_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crmp_hs_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crtsl_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crtsl_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crtsl_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crtstrn_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crtstrn_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_crtstrn_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cys_L_LPAREN_e_RPAREN_,-0.0002970366643658,A_D6,D6,A,1,0.08955224,A,-2.660029865608557e-05,Ok,MCF7,spheroid
D6,A,EX_cys_L_b,-0.0002970366643658,A_D6,D6,A,1,0.08955224,A,-2.660029865608557e-05,Ok,MCF7,spheroid
D6,A,EX_cys_L_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cytd_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cytd_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_cytd_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dad_2_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dad_2_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dad_2_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dctp_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dctp_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dgchol_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dgchol_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dgchol_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dgtp_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dgtp_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_digalsgalside_hs_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_digalsgalside_hs_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_digalsgalside_hs_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dopa_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dopa_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dopa_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dopasf_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dopasf_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dopasf_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_drib_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_drib_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_drib_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dttp_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_dttp_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_eicostet_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_eicostet_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_eicostet_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_estradiol_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_estradiol_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_estradiol_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_estroneglc_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_estroneglc_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_estroneglc_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ethamp_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_ethamp_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fald_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fald_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fald_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fol_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fol_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fol_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_for_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_for_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_for_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fuc13galacglcgal14acglcgalgluside_hs_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fuc13galacglcgal14acglcgalgluside_hs_b,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fuc13galacglcgal14acglcgalgluside_hs_m,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
D6,A,EX_fuc14galacglcgalgluside_hs_LPAREN_e_RPAREN_,0.0,A_D6,D6,A,1,0.08955224,A,0.0,Ok,MCF7,spheroid
