,A,B,C,sample
A,-0.010630094479587422,0.0024750881052604187,0.0010672566249807364,com_0.1644_0.5839_0.2518
B,0.04008223035397368,-0.03775471550989229,0.06138526765144273,com_0.1644_0.5839_0.2518
C,-0.00013789423706834017,-0.0004897564980192309,-0.016279812500927394,com_0.1644_0.5839_0.2518
A,-0.007195792884040055,0.00019069597276552205,0.0013972584365439036,com_0.1522_0.1018_0.746
B,0.00012867342834294113,-0.004812464210625202,0.0006305404795303865,com_0.1522_0.1018_0.746
C,0.09938797612496873,0.06646954486978794,-0.035261660678265666,com_0.1522_0.1018_0.746
A,-0.027687322812696067,0.012182351078388835,0.015105350893288384,com_0.3335_0.2976_0.369
B,0.009912785262691477,-0.024708537948528845,0.010968859895989669,com_0.3335_0.2976_0.369
C,0.01151417607119119,0.01027540504123253,-0.030637036592608816,com_0.3335_0.2976_0.369
A,-0.022878978069256824,0.014276969376495398,0.0027467572193361515,com_0.3527_0.5428_0.1044
B,0.04981331838969175,-0.03520758767976479,0.014747872321530499,com_0.3527_0.5428_0.1044
C,-0.003114107458225157,-0.004792181323142422,-0.006773615148059757,com_0.3527_0.5428_0.1044
A,-0.016094468280888004,0.005554623566356963,0.002643006166910506,com_0.2245_0.5255_0.25
B,0.03935599716545858,-0.03767015169960414,0.04383037642932264,com_0.2245_0.5255_0.25
C,5.114673674338002e-05,0.00011971226990971362,-0.017924246722014436,com_0.2245_0.5255_0.25
A,-0.007268346960091884,0.0009073720921874417,0.0007568913472874653,com_0.1076_0.4865_0.4058
B,0.00975930197002395,-0.03285449277537729,0.03679815082549186,com_0.1076_0.4865_0.4058
C,0.0029109949628335612,0.013158323840454185,-0.02740582556825888,com_0.1076_0.4865_0.4058
A,-0.0264949563923216,0.015264760753218469,0.009206604412208316,com_0.3298_0.4181_0.2522
B,0.026873853822554777,-0.03359077404215644,0.02054926221682536,com_0.3298_0.4181_0.2522
C,0.0008157358138521156,0.0010342042836160234,-0.02025953590149761,com_0.3298_0.4181_0.2522
A,-0.024928475414334367,0.0051002420900016585,0.015902919201116875,com_0.3484_0.1582_0.4933
B,0.0017106614657071036,-0.011319379987953836,0.0024220162611329824,com_0.3484_0.1582_0.4933
C,0.030943221707403278,0.014050521690957577,-0.035294635461268264,com_0.3484_0.1582_0.4933
A,-0.007052217067735226,0.0003857335604448703,0.0011638694800217148,com_0.1251_0.2178_0.6571
B,0.0007475175851899881,-0.012273518986864398,0.003925379939077989,com_0.1251_0.2178_0.6571
C,0.03952597304624829,0.06879010898345295,-0.03703274951824331,com_0.1251_0.2178_0.6571
A,-0.03675264838866854,0.04215945347449235,0.028736069449948384,com_0.5002_0.2972_0.2026
B,0.011145595205129318,-0.021835920453078816,0.004513552745226249,com_0.5002_0.2972_0.2026
C,-0.0020570139050364727,-0.001222137559350512,-0.014883459697282404,com_0.5002_0.2972_0.2026
A,-0.035044604063243744,0.023956969429828525,0.03145309155891621,com_0.4465_0.2393_0.3142
B,0.006732124229808581,-0.01878082349950046,0.004736712827753026,com_0.4465_0.2393_0.3142
C,0.005810226705799615,0.0031137701565393944,-0.024657332506540456,com_0.4465_0.2393_0.3142
A,-0.0009069287397733496,-1.3961575908084944e-05,-2.2157931529508124e-05,com_0.0165_0.3801_0.6033
B,0.0003597967044911875,-0.020838413568365036,0.01312028909848318,com_0.0165_0.3801_0.6033
C,0.0017521889233234227,0.040259915415095535,-0.03307192143711058,com_0.0165_0.3801_0.6033
A,-0.021399889768838935,0.0023129944657896114,0.012315092194031395,com_0.3351_0.1051_0.5598
B,0.000555760805047871,-0.006714624018496437,0.0009284556271626151,com_0.3351_0.1051_0.5598
C,0.04239841674252235,0.013303312798133692,-0.03575071847366789,com_0.3351_0.1051_0.5598
A,-0.03063022880170273,0.024178074952733254,0.011689863105441956,com_0.397_0.4065_0.1965
B,0.025794504897889186,-0.03136479575642749,0.012770477172218703,com_0.397_0.4065_0.1965
C,-0.0017545339651789948,-0.0017966107867060724,-0.015164572426861117,com_0.397_0.4065_0.1965
A,-0.020179527440641304,0.007218427939721189,0.006060171249370975,com_0.2502_0.4076_0.3422
B,0.018654676220307094,-0.032869398571293625,0.025510017281268452,com_0.2502_0.4076_0.3422
C,0.005508544169320777,0.008972585428385901,-0.027595230688914587,com_0.2502_0.4076_0.3422
A,-0.03194791897816411,0.1429613585799038,0.2315930820499572,com_0.8611_0.053_0.0859
B,0.00012208324503482082,-0.0019818443461878717,-2.9509027649112646e-07,com_0.8611_0.053_0.0859
C,-0.004780054653352853,-0.0003086839728632224,-0.0031996899723968296,com_0.8611_0.053_0.0859
A,-0.014881563639879114,0.0016931521335773539,0.005216590583370144,com_0.2281_0.1892_0.5828
B,0.0013594986826744263,-0.012342130996346895,0.0034738506919855666,com_0.2281_0.1892_0.5828
C,0.04611950415446503,0.03824953986926253,-0.03802602445488384,com_0.2281_0.1892_0.5828
A,-0.026172824021525883,0.0040863360014469635,0.019461963342557148,com_0.3916_0.1056_0.5028
