sample,compartment,reaction,flux,taxa,samples,name,reads,relative,genus,tot_flux,status,subset,type
D6_2,A,EX_thr_L_b,-0.0020425388046524,A_D6_2,D6_2,A,1,0.09155224,A,-0.0001869990028528496,Ok,MCF7,spheroid
D6_2,A,EX_thymd_LPAREN_e_RPAREN_,-8.551241002815824e-05,A_D6_2,D6_2,A,1,0.09155224,A,-7.82885268587635e-06,Ok,MCF7,spheroid
D6_2,A,EX_thymd_b,-8.551241002815824e-05,A_D6_2,D6_2,A,1,0.09155224,A,-7.82885268587635e-06,Ok,MCF7,spheroid
D6_2,A,EX_trp_L_LPAREN_e_RPAREN_,-8.691682284276774e-05,A_D6_2,D6_2,A,1,0.09155224,A,-7.957429824938554e-06,Ok,MCF7,spheroid
D6_2,A,EX_trp_L_b,-8.691682284276774e-05,A_D6_2,D6_2,A,1,0.09155224,A,-7.957429824938554e-06,Ok,MCF7,spheroid
D6_2,A,EX_tyr_L_LPAREN_e_RPAREN_,-0.0010429888098079,A_D6_2,D6_2,A,1,0.09155224,A,-9.54879618328472e-05,Ok,MCF7,spheroid
D6_2,A,EX_tyr_L_b,-0.0010429888098079,A_D6_2,D6_2,A,1,0.09155224,A,-9.54879618328472e-05,Ok,MCF7,spheroid
D6_2,A,EX_val_L_LPAREN_e_RPAREN_,-0.0024111791597055,A_D6_2,D6_2,A,1,0.09155224,A,-0.00022074885311235625,Ok,MCF7,spheroid
D6_2,A,EX_val_L_b,-0.0024111791597055,A_D6_2,D6_2,A,1,0.09155224,A,-0.00022074885311235625,Ok,MCF7,spheroid
D6_2,A,EX_xylt_LPAREN_e_RPAREN_,-0.0040996247132031,A_D6_2,D6_2,A,1,0.09155224,A,-0.0003753298256531014,Ok,MCF7,spheroid
D6_2,A,EX_xylt_b,-0.0040996247132031,A_D6_2,D6_2,A,1,0.09155224,A,-0.0003753298256531014,Ok,MCF7,spheroid
D6_2,B,EX_ala_L_LPAREN_e_RPAREN_,-0.011116240951358,B_D6_2,D6_2,B,1,0.403597,B,-0.004486481499245235,Ok,MCF7,spheroid
